|set_ru_names|ru_names_town_list
226|Краснодар Москва |['Краснодар', 'Москва']
227|Учалы Рб|['Учалы']
228| П. Линево|['Линево']
229|Уруссу|['Уруссу']
230|Южно-Сахалинск|['Южно-Сахалинск']
231|Онохой|['Онохой']
232|Луховицы|['Луховицы']
233|Семиозерье|['Семиозерье']
234| Хурба-2|[]
235|Коркино|['Коркино']
236|Чианг Май Таиланд Москва|['Май', 'Москва']
237|Иваново|['Иваново']
238|Ст Новоалексеевская|['Новоалексеевская']
239| Осинники|['Осинники']
240|Сосновское|['Сосновское']
241|Кокошкино Мо|['Кокошкино дп']
242|Бийск |['Бийск']
243|Калининград Калининград|['Калининград']
244|Елабуга Рт|['Елабуга']
245|Абашево|['Абашево']
246|Москва Юбилейный|['Москва', 'Юбилейный']
247|Давыдовка|['Давыдовка']
248|Кинель|['Кинель']
249| Петрозаводск|['Петрозаводск']
250|Чита Санкт-Петербург|['Чита', 'Санкт-Петербург']
251|Москва-Санкт-Петербург|['Санкт-Петербург']
252|Тула|['Тула']
253|Тбилиси Москва|['Тбилиси', 'Москва']
254|Абинск|['Абинск']
255|Югорск Хмао-Югра|['Югорск', 'Игра']
256|Пушкино Москва |['Пушкино', 'Москва']
257|Юрга|['Юрга']
258|Кировский|['Кировский']
259|Н.Новгород-Волгоград|['Волгоград']
260|Каракас|[]
261|Бобров|['Бобров']
262|П. Карла Маркса|['Им Карла Маркса']
263|П. Раздольный|['Раздольный']
264|Челюскинский|['Челюскинский']
265|Башкортостан Ермекеевский Нижнеулу-Елга|['Башкортостан', 'Макеевский', 'Нижнеулу-Елга']
266|Ванино |['Ванино']
267|Комсомольск На Амуре|['Комсомольский']
268|Набережные Челны |['Набережные Челны']
269|Раменское Мои|['Раменское', 'Рои']
270|Жирновск|['Жирновск']
271|Санкт-Петербург Россия|['Санкт-Петербург']
272|Сосновый Бор Ло|['Сосновый Бор']
273|Мытищи Юбилейный|['Мытищи', 'Юбилейный']
274|Верхний Услон|['Верхний Услон']
275|Москва Будапешт Красногорск|['Москва', 'Будапешт', 'Красногорск']
276|Деденево|['Деденево']
277|Западная Двина|['Западная Двина', 'Савина']
278|Москва Реутов|['Москва', 'Реутов']
279|Казань Самара|['Казань', 'Самара']
280|Нижний Новгород-|['Нижний Новгород']
281|Белиджи|['Белиджи']
282|С-Пб|[]
283|Гп Вербилки|['Вербилки']
284|Сестрорецк|['Сестрорецк']
285|Богданович|['Богданович']
286|Заинск|['Заинск']
287|Сибай Уфа|['Сибай', 'Уфа']
288|Златоуст|['Златоуст']
289|Череповец|['Череповец']
290|Люберцы Москва|['Люберцы', 'Москва']
291|Жуковский Москва|['Жуковский', 'Москва']
292|Щелково Мо Москва |['Щелково', 'Москва']
