KIJ     Ниигата
KIN     Кингстон
KIX     Осака (Кансай)
KKN     Киркенес
KLA     Кампала
KLJ     Клайпеда
KLR     Калмар
KLU     Клагенфурт
KLV     Карлови-Вари
KMG     Куньмин
KMI     Миядзаки
KMJ     Кумамото
KNG     Куньмин (Вуджиба)
KOA     Кона (Кеахоле)
KOJ     Кагосима
KRK     Краков
KRN     Кируна
KRP     Каруп
KRT     Хартум
KSC     Кошице
KSF     Кассель (Кассель-Калден)
KSH     Керманшах
KTM     Катманду
KTN     Кетчикан
KTQ     Китее
KTW     Катовице (Пырзовице)
KUA     Куантан
KUL     Куала-Лумпур
KUN     Каунас
KUO     Куопио
KVA     Кавала (Мегас Александрос)
KVB     Сковде
KWI     Кувейт
KYA     Конья
LAD     Луанда
LAX     Лос-Анджелес
LBA     Лидс
LBG     Париж (Ля Бурже)
LBV     Либревиль
LCA     Ларнака
LDK     Лидкопинг (Ховбю)
LEG     Мадрид (Гетаф)
LEH     Гавр (Октевилле)
LEJ     Лейпциг (Халле)
LEY     Лелейстад
LFB     Тулуза (Франказал)
LFD     Бордо (Соуж)
LFD     Кастельнау-Магноак
LFE     Шатору (Виллерс)
LFE     Грей-Сан-Адрин
LFG     Кольмар (Хоусс)
LFG     Дижон (Деройс)
LFL     Гренобль (Леверсоуд)
LFM     Сент-Этьен (Бутьен)
LFM     Шато-Арну
LFO     Чатаудун
LFP     Виллакублей (Велизи)
LFQ     Этьен
LFS     Бале (Мюльхус)
LFW     Ломе
LGA     Нью Йорк (Ла Гардия)
LGB     Лонг Бич (Муниципал)
LGE     Елефсис
LGG     Льеж (Бирит)
LGM     Митилини
LGR     Арахос
LGS     Санторини
LGW     Лондон (Гатвик)
LHE     Лахор
LHR     Лондон (Хитроу)
LHS     Шармеллек (Балатон)
LHT     Будапешт (Текель)
LIB     Гротталье
LIC     Палермо (Боккадифалко)
LID     Карпи Будрионе
LIG     Лимож
LIL     Лилль
LIM     Лима
LIM     Бергамо (Орио Аль Серио)
LIM     Аоста
LIN     Милан (Линате)
LIN     Лечче Лепоре
LIP     Тревизо (Сан Анжело)
LIP     Тревизо (Истрана)
LIP     Верона (Виллафранка)
LIP     Венеция (Тессера)
LIQ     Сарцана
LIR     Пратица Ди Маре
LIS     Лиссабон
LJU     Любляна
LKK     Куновице
LKL     Либерец
LKO     Лакхнау (Амаус)
LKP     Пардубице
LLA     Лулео
LLW     Лилонгве
LMR     Лиме Акрес
LNZ     Линц
LON     Лондон
LOS     Лагос (Муртала Мухаммед)
LPA     Лас-Пальмас
LPB     Ла-Пас
LPI     Линкопинг
LPL     Ливерпуль
LPP     Лаппенранта
LPQ     Луанг Прабанг
LPX     Лиепая
LQT     Тузла
LRT     Лорьян
LSG     Саанен
LSM     Еммен
LSZ     Самедан
LTA     Адана (Инцирлик)
LTA     Искендерон
LTB     Ялова
LTK     Латакия
LTN     Лондон (Лутон)
LUG     Лугано
LUK     Цинциннати (Муниципал)
LUN     Лусака
LUX     Люксембург
LVS     Лас-Вегас
LXR     Луксор
LYE     Лайнехам
LYN     Лион (Брон)
LYN     Хис
LYR     Лонгйир
LYS     Лион (Сатолас)
MAA     Мадрас
MAD     Мадрид (Бараяз)
MAF     Мидланд
MAN     Манчестер
MBA     Момбаса
MBX     Марибор
MCI     Канзас Сити (Межд)
MDE     Медельин
MDW     Чикаго (Мидвэй)
MDY     Остров Мидуэй
MEL     Мельбурн
MES     Медан
MEX     Мехико
MGA     Манагуа
MGQ     Могадишо
MHD     Мешхед
MHG     Мангейм
MHZ     Милденхолл
MIA     Майами
MIK     Миккели
MIL     Милан
MIR     Монастир (Скенис)
MLA     Мальта
MLE     Мале
MLH     Мюлуз
MLW     Монровия
MMA     Мальме
MMB     Меманбецу
MMU     Морристаун (Муни)
MMX     Мальме (Стуруп)
MNL     Манила
MOL     Молде (Аро)
MPL     Монпелье
MPM     Мапуту
MPV     Монпилир
MRS     Марсель
MRU     Маврикий
MRW     Марибо
MSE     Манстон (Кент)
MSJ     Мисава
MSP     Миннеаполис (Ст Паул)
MST     Маастрихт
MSU     Масеру
MSY     Новый Орлеан
MTC     Маскат
MTS     Манзини
MUC     Мюнхен
MUR     Маруди
MUX     Мултан
MVD     Монтевидео
MXP     Милан (Мальпенса)
MYJ     Мацуяма
MZM     Мец
MZR     Мазар-И-Шариф
NAG     Нагпур
NAH     Наха
NAN     Нади (Международный)
NAP     Неаполь
NAS     Нассау
NBO     Найроби
NCE     Ницца
NCL     Ньюкастл
NDB     Нуадибу
NDJ     Нджамена
NGM     Гуам (Агана НАС)
NGO     Нагоя
NHT     Нортхолт
NIC     Никозия
NIM     Ниамей
NIU     Алофи (Ниуе)
NJA     Атсуги
NKC     Нуакшот
NKG     Нанджинг
NLA     Ндола
NNG     Наньинг
NRK     Норкопинг (Кунгзанген)
NRT     Токио (Нарита)
NSY     Сигонелла
NTE     Нант
NUE     Нюрнберг
NYC     Нью Йорк
OAK     Окленд (Метрополитан Окленд)
OBF     Оберпфафенхофен
ODE     Оденсе (Белдринг)
OEK     Кинг Халид
OER     Орнскольдсвик
OER     Рияд
OHD     Охрид
OIS     Лар
OIT     Уромие
OJA     Амман (Марка)
OKC     Оклахома
OKD     Саппоро (Окадама)
OKI     Оки
OKJ     Окаяма
OKO     Токио (Йокота)
OLB     Ольбия
OMA     Джебел Дхана
OME     Ном
OMF     Фуджейра
OMR     Орадя
ONT     Онтарио
OPL     Лахор (Валтон)
OPM     Карачи (Масрор)
OPO     Порту
ORB     Оребро (Оребро-Бофор)
ORD     Чикаго (О Харе)
ORE     Орлеан
ORK     Корк
ORN     Оран (Ес Сениа)
ORY     Париж (Орли)
OSA     Осака
OSD     Остерзунд (Фрозо)
OSI     Осиек
OSL     Осло
OSN     Осан
OSR     Острава (Моснов)
OST     Остенд
OSZ     Кошалин
OTP     Бухарест (Отопени)
OTZ     Коцебу
OUA     Уагадугу
OUL     Оулу
OVD     Астуриас
OXF     Оксфорд (Кидлингтон)
PAD     Падерборн
PAD     Уналяска
PAE     Еверетт
PAR     Париж
PDV     Пловдив
PDX     Портленд
PEK     Пекин (Бейинг)
PEN     Пинанг
PER     Пертс
PEW     Пешавар
PFO     Пафос
PGA     Гуам (Тагуац)
PGF     Перпиньян (Ривесалтес)
PHC     Порт Харкорт
PHL     Филадельфия
PHL     Лихуэ
PIK     Глазго (Прествик)
PIS     Пуатье
PIT     Питтсбург
PLQ     Паланга
PMF     Парма
PMI     Палма де Маллорка
PMO     Палермо (Пунта Райси)
PNH     Пномпень
PNR     Пуэнт-Нуар (Агутино Нето)
PNV     Паневежис
POM     Порт Моресби (Джексон)
POR     Пори
POS     Порт-Оф-Спейн
POV     Пршеров
POZ     Познань
PRG     Прага
PSA     Пиза
PSD     Порт Саид
PSR     Пескара
PTK     Понтиак
PTY     Панама
PUS     Пусан (Кимхе)
PUY     Пула
PVD     Провиденс (Теодор Францис)
PVK     Превеза
PZY     Пьештяни
QFR     Фрозиноне
QGW     Нейштадт-Глеве
QIE     Истрис
QKW     Канадзава (Коматцу)
QLZ     Лодзь (Люблинек)
QMP     Макау
QPA     Падуя
QWI     Шлезвиг
RAI     Прая
RAK     Марракеш (Менара)
RAS     Решт
RBA     Рабат
REC     Ресифи
REK     Рейкьявик (Рейкьявик Местный)
REU     Реус
RGN     Янгон (Мингаладон)
RHE     Реймс
RHO     Родос
RIA     Санта-Мария
RIO     Рио-Де-Жанейро
RIX     Рига
RJC     Асахигава [ВОЕН]
RJC     Читозе
RJC     Токачи
RJF     Оита
RJK     Риека
RJO     Ивакуни
RJO     Осака (Йоа)
RJS     Ханамаки
RKE     Копенгаген (Роскилде)
RKP     Пусан
RKT     Рас Эль Хайма
RMI     Римини
RML     Коломбо (Ратмалана)
RMS     Рамштейн
RNB     Роннебю (Каллинж)
RNN     Борнхольм (Ренне)
RNS     Реннес
ROM     Рим
ROU     Русе
RTM     Роттердам
RUA     Аруа
RUN     Рияд (Кинг Халид)
RVN     Рованиеми
RZE     Жешув
SAC     Сакраментто
SAH     Сана
SAL     Сан-Сальвадор
SAN     Сан-Диего
SBW     Сибу
SBZ     Сибиу (Турнисор)
SCL     Сантьяго
SCN     Саарбрюккен (Энхейм)
SCQ     Сантьяго Де Компостела
SDA     Багдад (Саддам)
SDJ     Сендай
SDL     Сундвел (Мидланда)
SDQ     Санто-Доминго
SDR     Сантандер
SDT     Сайду Шариф
SDV     Тель-Авив (Дов)
SEA     Сиэттл (Сиэттл-Такома)
SEB     Себха
SEL     Сеул (Кимпо)
SET     Шеллефтео
SEZ     Сейшелы
SFJ     Сенре Стремфьорд
SFO     Сан-Франциско (Международный)
SGD     Сеннерборг
SGN     Хошимин
SGZ     Сонгхла (Хат Йай)
SHA     Шанхай
SHE     Шеньян
SHJ     Шарджа
SID     Сал (Амилкар Кабрал)
SIN     Сингапур (Чанги)
SIT     Ситка
SJC     Сан Хосе (Муниципал)
SJJ     Сараево (Бутмир)
SJO     Сан-Хосе
SKE     Скиен (Гейтериген)
SKG     Салоники
SKP     Скопье
SLD     Сляц
SLL     Салала
SLS     Силистра
SMI     Самос
SNN     Шаннон
SOF     София
SOM     Сан Томе (Эл Тигре)
SOU     Саутхемптон (Истлей)
SPC     Санта Крус (Ла Пальма)
SPK     Саппоро
SPU     Сплит
SQZ     Скемптон
SSA     Сальвадор
SSG     Малабо
SSX     Самсун
STA     Штаунинг
STN     Лондон (Стенстед)
STO     Стокгольм
STR     Штутгарт
SUB     Сурабая
SUF     Ламеция (Терме)
SUJ     Сату-Маре
SUV     Сува
SVG     Ставангер (Сола)
SVL     Савонлинна
SVQ     Севилья
SWF     Ньюборг (Стюарт)
SXB     Страсбур
SXF     Берлин (Шенефельд)
SYA     Шемью
SYD     Сидней
SYO     Шонай
SYX     Сяньян
SYZ     Шираз (Международный)
SZG     Зальцбург
SZR     Стара Загора
SZZ     Щецин (Голенев)
TAE     Тэгу
TAF     Оран (Тафари)
TAK     Такамацу
TAO     Кингдао
TAT     Татры
TAY     Тарту (Юленурме)
TBZ     Тебриз
TCE     Тулча
TCI     Тенерифе
TEB     Тетерборо
TER     Остров Теркира (Ладжес)
TFN     Тенерифе (Лос Родеос)
TFS     Тенерифе (Сар Реина София)
TGD     Подгорица
TGM     Тиргу Муреш
THF     Берлин (Темпельхоф)
THN     Тролльхеттан
THR     Тегеран (Мехрабад)
TIA     Тирана
TIF     Таиф
TIP     Триполи
TIV     Тиват
TKU     Турку
TLL     Таллинн
TLN     Тулон
TLS     Тулуза (Блегнек)
TLV     Тель-Авив (Бен Гурион)
TMP     Тампере
TMR     Таманрассет (Агуемар)
TMS     Сао Томе
TNG     Танжер
TNR     Антананариву (Ивато)
TOJ     Мадрид (Торрехон)
TOS     Тромсе
TOY     Тояма
TPA     Тампа (Интл)
TPE     Тайпей (Чан Кай Ши)
TPG     Тайпинг
TRC     Торреон
TRD     Тронхейм
TRN     Турин
TRS     Триест (Де Легионари)
TRV     Тривандрум
TSA     Тайпей (Сонг Шан)
TSF     Венеция (Тревико)
TSN     Тяньинь
TSR     Тимишоара (Гиармата)
TTJ     Тоттори
TTN     Трентон (Мерцер)
TUF     Тур
TUN     Тунис
TVC     Траверс Сити (Черри Кэпитал)
TXL     Берлин (Тегель)
TYN     Тайюань
TYO     Токио
TZX     Трабзон
UAM     Гуам (Андерсон)
UDE     Уден (Волкел)
UET     Кветта (Самунгли)
UIO     Кито
ULG     Ульгий
ULN     Улан-Батор
UME     Умео
UNK     Унайаклит
UPG     Юнг Пандунг (Хасануддин)
URC     Урумчи
UTP     Районг (Утапао)
VAA     Вааса
VAF     Валанс (Шабу)
VAN     Ван
VAR     Варна
VBY     Висбю
VCE     Венеция (Сан Николо)
VCT     Виктория
VDA     Овда
VDS     Вадсе
VGO     Виго
VIE     Вена
VIT     Витория
VLC     Валенсия
VNO     Вильнюс
VQT     Тхимпху
VRK     Варкаус
VRN     Верона (Боскомантико)
VST     Вастерас (Хассло)
VTE     Вьентьян (Ваттай)
VVG     Ханой (Джалам)
VVK     Вестервик
WAS     Вашингтон
WAW     Варшава (Океция)
WBS     Бруней
WDH     Виндхук (Виндхук)
WKJ     Вакканай (Хоккайдо)
WLG     Веллингтон
WMK     Симпанг
WNS     Навабшах
WOE     Венсдрехт
WRO     Вроцлав (Страховице)
WTN     Ваддингтон
XBY     Беритз-Байонн (Англе)
XHE     Хьерес (ле Палвестре)
XIY     Сиань (Сианянг)
XLW     Лемвердер
XMM     Монако Монте Карло
XOG     Оранж (Карайтет)
XYT     Тулуза (Монтаудран)
YAK     Якутат
YBG     Баготвилла
YCB     Кеймбридж Бей
YEA     Эдмонтон
YEB     Иквалуит
YEV     Инувик
YHZ     Галифакс
YIP     Детройт (Виллоу)
YLI     Иливиеске
YMQ     Монреаль
YMX     Монреаль (Мирабел)
YOD     Колд Лайк
YOK     Иокогама
YOW     Оттава
YQB     Квебек
YQH     Уотсон Лейк
YQT     Тандер-Бей
YQX     Гандер
YTR     Трентон
YUL     Монреаль (Дорвал)
YVR     Ванкувер (Международный)
YWG     Виннипег
YXX     Абботсфорд
YXY     Уайтхорс
YYC     Калгари (Международный)
YYR     Гус Бей
YYZ     Торонто
YZF     Йеллоунайф
ZAG     Загреб
ZAN     Захедан
ZAO     Кахор (Лаберандье)
ZBH     Хух-Хото
ZBJ     Скиве
ZCC     Баден-Баден (Оос)
ZGC     Ланьчжоу (Чонгчун)
ZGS     Шеньжень (Хуантя)
ZKU     Уйзю
ZMU     Улэгэй
ZNQ     Ингольштадт
ZPE     Оснабрюк
ZQC     Шпейер
ZRH     Цюрих
ZTH     Закинтос
ZYR     Чангчун
ААД     Арка
ААЗ     Рыбинск (Староселье)
ААЙ     Алтай
ААС     Арасан
ААУ     Актау
ААЮ     Аксу-Аюлы
АБА     Абаза
АББ     Абан
АБД     Абдулино
АБИ     Айбеси
АБЙ     Акбокай
АБК     Абакан [агентство 01АБК]
АБН     Абакан
АБТ     Абатское
АБУ     Ала-Бука
АБЫ     Абый
АВН     Авангард
АГА     Агдаш
АГВ     Агвали
АГД     Агдам
АГЗ     Агрыз
АГИ     Агинское
АГК     Ангаракан
АГМ     Ангарка
АГН     Аган
АГР     Агадырь
АГС     Ангарск
АГТ     Ангутиха
АГУ     Агул
АГХ     Аргахтах
АГЫ     Амангельды
АГЯ     Аргас
АДА     Аркадак
АДГ     Агдары
АДЕ     Амдерма-2
АДЗ     Адзьвавом
АДК     Аджи-Кабул
АДМ     Адамовка
АДР     Андрюшино
АДУ     Андрушевка
АДШ     Андрюшкино
АЕГ     Ахмета
АЕД     Александровка [СКУ]
АЕК     Алексеевка
АЕШ     Алешкино
АЖА     Андижан-Аул
АЖД     Агджабеди
АЖК     Ажек
АЖР     Акжар
АЖС     Анжеро-Судженск
АЗЕ     Азеево
АЗУ     Агзу
АИБ     Аибга 1 Отд
АИВ     Аликово
АИГ     Аибга 5 Отд
АИК     Алискерово
АИН     Амакинский (Эбелях)
АЙД     Айдара
АЙК     Айнаколь
АЙМ     Аймаут
АЙН     Айни
АЙО     Айон
АЙС     Алтайский
АКА     Андреевка
АКГ     Акользин
АКЖ     Акжал
АКЗ     Александровский Завод
АКИ     Атаки
АКЙ     Акшийрак
АКЛ     Акмола
АКС     Аксуат
АКУ     Аксу
АКФ     Акстафа
АКХ     Актюбинск
АКЧ     Акчатау
АКШ     Актаныш
АКЫ     Акбасты
АКЬ     Акколь
АКЭ     Аксеново
АКЮ     Алеко-Кюель
АКЯ     Акьяр
АЛА     Алматы
АЛВ     Александровка
АЛГ     Алгабас
АЛД     Алдан
АЛЕ     Алексеевка [УГЦ]
АЛЖ     Алыгджер
АЛЙ     Александров Гай
АЛН     Аталанка
АЛР     Александровка [ПРУ]
АЛС     Александрия [УКР]
АЛТ     Алушта
АЛУ     Алиаул
АЛХ     Александровск-Сахалинский
АЛШ     Александровский Шлюз
АЛЫ     Алатырь
АЛЮ     Арал-Тюбе
АМБ     Амбролаури
АМГ     Амга
АМД     Амдерма
АМЗ     Армизонское
АМС     Амантаусский
АМУ     Амгу
